Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	144 - Day One Hundred Forty Four	8/23/2009 1:41:24 PM 	13:11:18	42.6 km	3 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N46 37.267 E9 35.392	8/23/2009 3:12:27 PM 	1182 m			176 m	0:00:44	14 kph	172° true
Trackpoint	N46 37.208 E9 35.424	8/23/2009 3:19:29 PM 	1184 m			117 m	0:07:02	1.0 kph	160° true
Trackpoint	N46 37.150 E9 35.464	8/23/2009 3:21:12 PM 	1181 m			118 m	0:01:43	4 kph	155° true
Trackpoint	N46 37.083 E9 35.511	8/23/2009 3:27:09 PM 	1182 m			138 m	0:05:57	1.4 kph	154° true
Trackpoint	N46 37.030 E9 35.535	8/23/2009 3:28:14 PM 	1182 m			104 m	0:01:05	6 kph	163° true
Trackpoint	N46 36.968 E9 35.577	8/23/2009 3:30:14 PM 	1183 m			126 m	0:02:00	4 kph	155° true
Trackpoint	N46 36.895 E9 35.618	8/23/2009 3:32:09 PM 	1184 m			146 m	0:01:55	5 kph	159° true
Trackpoint	N46 36.820 E9 35.580	8/23/2009 3:34:28 PM 	1183 m			148 m	0:02:19	4 kph	200° true
Trackpoint	N46 36.755 E9 35.527	8/23/2009 3:36:18 PM 	1183 m			139 m	0:01:50	5 kph	209° true
Trackpoint	N46 36.694 E9 35.511	8/23/2009 3:37:58 PM 	1183 m			115 m	0:01:40	4 kph	190° true
Trackpoint	N46 36.595 E9 35.495	8/23/2009 3:40:43 PM 	1185 m			184 m	0:02:45	4 kph	187° true
Trackpoint	N46 36.538 E9 35.491	8/23/2009 3:42:14 PM 	1187 m			107 m	0:01:31	4 kph	182° true
Trackpoint	N46 36.446 E9 35.501	8/23/2009 3:45:10 PM 	1193 m			171 m	0:02:56	4 kph	176° true
Trackpoint	N46 36.435 E9 35.500	8/23/2009 4:31:18 PM 	1199 m			20 m	0:46:08	0.0 kph	184° true
Trackpoint	N46 36.372 E9 35.515	8/23/2009 4:32:07 PM 	1215 m			118 m	0:00:49	9 kph	171° true
Trackpoint	N46 36.293 E9 35.539	8/23/2009 4:33:07 PM 	1219 m			149 m	0:01:00	9 kph	168° true
Trackpoint	N46 36.225 E9 35.554	8/23/2009 4:33:57 PM 	1223 m			129 m	0:00:50	9 kph	171° true
Trackpoint	N46 36.140 E9 35.578	8/23/2009 4:34:57 PM 	1228 m			159 m	0:01:00	10 kph	169° true
Trackpoint	N46 36.060 E9 35.604	8/23/2009 4:35:52 PM 	1230 m			152 m	0:00:55	10 kph	168° true
Trackpoint	N46 35.973 E9 35.679	8/23/2009 4:36:42 PM 	1227 m			188 m	0:00:50	14 kph	149° true
Trackpoint	N46 35.914 E9 35.741	8/23/2009 4:37:17 PM 	1226 m			135 m	0:00:35	14 kph	144° true
Trackpoint	N46 35.846 E9 35.814	8/23/2009 4:38:07 PM 	1224 m			157 m	0:00:50	11 kph	144° true
Trackpoint	N46 35.791 E9 35.893	8/23/2009 4:38:54 PM 	1221 m			144 m	0:00:47	11 kph	135° true
Trackpoint	N46 35.756 E9 35.971	8/23/2009 4:47:27 PM 	1229 m			119 m	0:08:33	0.8 kph	123° true
Trackpoint	N46 35.701 E9 36.090	8/23/2009 4:48:32 PM 	1231 m			182 m	0:01:05	10 kph	124° true
Trackpoint	N46 35.667 E9 36.165	8/23/2009 4:49:07 PM 	1231 m			114 m	0:00:35	12 kph	124° true
Trackpoint	N46 35.636 E9 36.231	8/23/2009 4:49:37 PM 	1230 m			103 m	0:00:30	12 kph	125° true
Trackpoint	N46 35.588 E9 36.337	8/23/2009 4:50:32 PM 	1233 m			160 m	0:00:55	11 kph	123° true
Trackpoint	N46 35.548 E9 36.413	8/23/2009 4:51:37 PM 	1239 m			122 m	0:01:05	7 kph	128° true
Trackpoint	N46 35.485 E9 36.496	8/23/2009 4:52:51 PM 	1243 m			159 m	0:01:14	8 kph	138° true
Trackpoint	N46 35.418 E9 36.566	8/23/2009 4:53:26 PM 	1239 m			152 m	0:00:35	16 kph	144° true
Trackpoint	N46 35.335 E9 36.613	8/23/2009 4:54:01 PM 	1239 m			165 m	0:00:35	17 kph	159° true
Trackpoint	N46 35.287 E9 36.653	8/23/2009 4:54:31 PM 	1238 m			104 m	0:00:30	12 kph	150° true
Trackpoint	N46 35.206 E9 36.727	8/23/2009 5:10:25 PM 	1218 m			176 m	0:15:54	0.7 kph	148° true
Trackpoint	N46 35.126 E9 36.815	8/23/2009 5:11:30 PM 	1223 m			186 m	0:01:05	10 kph	143° true
Trackpoint	N46 35.074 E9 36.886	8/23/2009 5:12:05 PM 	1223 m			133 m	0:00:35	14 kph	137° true
Trackpoint	N46 35.022 E9 36.950	8/23/2009 5:12:40 PM 	1226 m			127 m	0:00:35	13 kph	140° true
