Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	144 - Day One Hundred Forty Four	8/23/2009 1:41:24 PM 	13:11:18	42.6 km	3 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N46 27.789 E9 39.367	8/23/2009 8:27:24 PM 	1790 m			98 m	0:00:52	7 kph	100° true
Trackpoint	N46 27.791 E9 39.479	8/23/2009 8:36:38 PM 	1792 m			143 m	0:09:14	0.9 kph	89° true
Trackpoint	N46 27.862 E9 39.493	8/23/2009 8:37:27 PM 	1800 m			132 m	0:00:49	10 kph	8° true
Trackpoint	N46 27.837 E9 39.579	8/23/2009 8:39:12 PM 	1809 m			119 m	0:01:45	4 kph	113° true
Trackpoint	N46 27.809 E9 39.666	8/23/2009 8:40:12 PM 	1818 m			121 m	0:01:00	7 kph	115° true
Trackpoint	N46 27.779 E9 39.745	8/23/2009 8:41:07 PM 	1828 m			116 m	0:00:55	8 kph	119° true
Trackpoint	N46 27.751 E9 39.850	8/23/2009 8:43:57 PM 	1834 m			144 m	0:02:50	3 kph	111° true
Trackpoint	N46 27.738 E9 39.954	8/23/2009 8:44:47 PM 	1839 m			136 m	0:00:50	10 kph	101° true
Trackpoint	N46 27.729 E9 40.067	8/23/2009 8:46:07 PM 	1846 m			145 m	0:01:20	7 kph	97° true
Trackpoint	N46 27.727 E9 40.214	8/23/2009 8:47:14 PM 	1846 m			188 m	0:01:07	10 kph	91° true
Trackpoint	N46 27.723 E9 40.332	8/23/2009 8:48:06 PM 	1850 m			150 m	0:00:52	10 kph	93° true
Trackpoint	N46 27.719 E9 40.460	8/23/2009 8:49:06 PM 	1854 m			164 m	0:01:00	10 kph	93° true
Trackpoint	N46 27.726 E9 40.570	8/23/2009 8:50:01 PM 	1861 m			141 m	0:00:55	9 kph	85° true
Trackpoint	N46 27.742 E9 40.659	8/23/2009 8:50:46 PM 	1867 m			118 m	0:00:45	9 kph	76° true
Trackpoint	N46 27.743 E9 40.757	8/23/2009 8:51:36 PM 	1874 m			125 m	0:00:50	9 kph	89° true
Trackpoint	N46 27.728 E9 40.869	8/23/2009 8:52:36 PM 	1879 m			146 m	0:01:00	9 kph	101° true
Trackpoint	N46 27.725 E9 40.982	8/23/2009 8:53:56 PM 	1889 m			144 m	0:01:20	6 kph	92° true
Trackpoint	N46 27.725 E9 41.044	8/23/2009 8:56:46 PM 	1897 m			80 m	0:02:50	2 kph	90° true
Trackpoint	N46 27.773 E9 41.039	8/23/2009 9:00:40 PM 	1907 m			90 m	0:03:54	1.4 kph	356° true
Trackpoint	N46 27.804 E9 41.112	8/23/2009 9:01:45 PM 	1916 m			108 m	0:01:05	6 kph	59° true
Trackpoint	N46 27.835 E9 41.184	8/23/2009 9:02:50 PM 	1926 m			109 m	0:01:05	6 kph	58° true
Trackpoint	N46 27.882 E9 41.189	8/23/2009 9:04:05 PM 	1936 m			87 m	0:01:15	4 kph	4° true
Trackpoint	N46 27.863 E9 41.251	8/23/2009 9:05:45 PM 	1943 m			86 m	0:01:40	3 kph	114° true
Trackpoint	N46 27.897 E9 41.250	8/23/2009 9:06:45 PM 	1950 m			63 m	0:01:00	4 kph	359° true
Trackpoint	N46 27.899 E9 41.282	8/23/2009 9:07:49 PM 	1960 m			41 m	0:01:04	2 kph	84° true
Trackpoint	N46 27.920 E9 41.305	8/23/2009 9:09:04 PM 	1971 m			48 m	0:01:15	2 kph	36° true
Trackpoint	N46 27.959 E9 41.367	8/23/2009 9:14:09 PM 	1979 m			107 m	0:05:05	1.3 kph	48° true
Trackpoint	N46 27.978 E9 41.443	8/23/2009 9:15:19 PM 	1991 m			104 m	0:01:10	5 kph	70° true
Trackpoint	N46 27.993 E9 41.531	8/23/2009 9:16:29 PM 	2002 m			116 m	0:01:10	6 kph	76° true
Trackpoint	N46 28.003 E9 41.632	8/23/2009 9:17:49 PM 	2015 m			130 m	0:01:20	6 kph	82° true
Trackpoint	N46 27.999 E9 41.721	8/23/2009 9:20:49 PM 	2020 m			115 m	0:03:00	2 kph	94° true
Trackpoint	N46 27.974 E9 41.819	8/23/2009 9:22:19 PM 	2025 m			133 m	0:01:30	5 kph	111° true
Trackpoint	N46 27.928 E9 41.901	8/23/2009 9:24:04 PM 	2029 m			135 m	0:01:45	5 kph	129° true
Trackpoint	N46 27.889 E9 41.956	8/23/2009 9:24:39 PM 	2031 m			102 m	0:00:35	10 kph	136° true
Trackpoint	N46 27.849 E9 42.010	8/23/2009 9:25:44 PM 	2036 m			101 m	0:01:05	6 kph	137° true
Trackpoint	N46 27.842 E9 42.092	8/23/2009 9:26:54 PM 	2042 m			105 m	0:01:10	5 kph	98° true
Trackpoint	N46 27.840 E9 42.185	8/23/2009 9:28:13 PM 	2050 m			119 m	0:01:19	5 kph	91° true
Trackpoint	N46 27.886 E9 42.237	8/23/2009 9:36:43 PM 	2062 m			107 m	0:08:30	0.8 kph	39° true
Trackpoint	N46 27.895 E9 42.317	8/23/2009 9:37:52 PM 	2071 m			104 m	0:01:09	5 kph	80° true
Trackpoint	N46 27.931 E9 42.369	8/23/2009 9:38:57 PM 	2080 m			94 m	0:01:05	5 kph	45° true
Trackpoint	N46 27.938 E9 42.409	8/23/2009 9:40:32 PM 	2094 m			53 m	0:01:35	2 kph	76° true
Trackpoint	N46 27.930 E9 42.464	8/23/2009 9:41:47 PM 	2102 m			72 m	0:01:15	3 kph	101° true
Trackpoint	N46 27.975 E9 42.422	8/23/2009 9:42:57 PM 	2113 m			99 m	0:01:10	5 kph	327° true
Trackpoint	N46 27.993 E9 42.481	8/23/2009 9:44:17 PM 	2126 m			81 m	0:01:20	4 kph	66° true
Trackpoint	N46 28.040 E9 42.465	8/23/2009 9:50:11 PM 	2132 m			91 m	0:05:54	0.9 kph	347° true
Trackpoint	N46 28.063 E9 42.579	8/23/2009 9:51:41 PM 	2138 m			151 m	0:01:30	6 kph	74° true
Trackpoint	N46 28.089 E9 42.667	8/23/2009 9:52:56 PM 	2143 m			124 m	0:01:15	6 kph	66° true
Trackpoint	N46 28.105 E9 42.744	8/23/2009 9:54:01 PM 	2147 m			102 m	0:01:05	6 kph	73° true
Trackpoint	N46 28.140 E9 42.818	8/23/2009 9:55:16 PM 	2155 m			115 m	0:01:15	6 kph	55° true
Trackpoint	N46 28.182 E9 42.900	8/23/2009 9:56:36 PM 	2166 m			130 m	0:01:20	6 kph	53° true
Trackpoint	N46 28.223 E9 42.872	8/23/2009 9:57:55 PM 	2175 m			84 m	0:01:19	4 kph	335° true
Trackpoint	N46 28.261 E9 42.933	8/23/2009 9:59:00 PM 	2182 m			105 m	0:01:05	6 kph	48° true
Trackpoint	N46 28.311 E9 42.982	8/23/2009 10:00:10 PM 	2191 m			112 m	0:01:10	6 kph	34° true
Trackpoint	N46 28.300 E9 43.009	8/23/2009 10:01:25 PM 	2201 m			39 m	0:01:15	2 kph	119° true
Trackpoint	N46 28.250 E9 43.009	8/23/2009 10:07:00 PM 	2209 m			93 m	0:05:35	1.0 kph	180° true
Trackpoint	N46 28.192 E9 43.026	8/23/2009 10:09:09 PM 	2222 m			111 m	0:02:09	3 kph	168° true
Trackpoint	N46 28.211 E9 43.090	8/23/2009 10:10:24 PM 	2222 m			88 m	0:01:15	4 kph	66° true
Trackpoint	N46 28.263 E9 43.120	8/23/2009 10:11:19 PM 	2233 m			103 m	0:00:55	7 kph	22° true
Trackpoint	N46 28.315 E9 43.168	8/23/2009 10:12:04 PM 	2237 m			115 m	0:00:45	9 kph	32° true
Trackpoint	N46 28.365 E9 43.213	8/23/2009 10:12:59 PM 	2242 m			108 m	0:00:55	7 kph	32° true
Trackpoint	N46 28.390 E9 43.282	8/23/2009 10:14:14 PM 	2249 m			100 m	0:01:15	5 kph	62° true
Trackpoint	N46 28.316 E9 43.312	8/23/2009 10:16:24 PM 	2260 m			142 m	0:02:10	4 kph	164° true
Trackpoint	N46 28.258 E9 43.372	8/23/2009 10:17:43 PM 	2267 m			133 m	0:01:19	6 kph	145° true
Trackpoint	N46 28.260 E9 43.473	8/23/2009 10:18:58 PM 	2271 m			129 m	0:01:15	6 kph	88° true
Trackpoint	N46 28.301 E9 43.559	8/23/2009 10:20:08 PM 	2272 m			133 m	0:01:10	7 kph	56° true
Trackpoint	N46 28.340 E9 43.616	8/23/2009 10:23:23 PM 	2274 m			102 m	0:03:15	2 kph	45° true
Trackpoint	N46 28.335 E9 43.675	8/23/2009 10:32:04 PM 	2278 m			76 m	0:08:41	0.5 kph	96° true
Trackpoint	N46 28.332 E9 43.733	8/23/2009 10:45:48 PM 	2272 m			74 m	0:13:44	0.3 kph	94° true
Trackpoint	N46 28.303 E9 43.872	8/23/2009 10:46:28 PM 	2258 m			185 m	0:00:40	17 kph	107° true
Trackpoint	N46 28.301 E9 43.979	8/23/2009 10:46:58 PM 	2254 m			137 m	0:00:30	16 kph	92° true
Trackpoint	N46 28.333 E9 44.069	8/23/2009 10:47:27 PM 	2245 m			130 m	0:00:29	16 kph	63° true
Trackpoint	N46 28.324 E9 44.179	8/23/2009 10:48:02 PM 	2234 m			142 m	0:00:35	15 kph	97° true
Trackpoint	N46 28.348 E9 44.302	8/23/2009 10:48:27 PM 	2222 m			163 m	0:00:25	23 kph	74° true
Trackpoint	N46 28.349 E9 44.395	8/23/2009 10:48:42 PM 	2215 m			119 m	0:00:15	29 kph	90° true
Trackpoint	N46 28.349 E9 44.532	8/23/2009 10:50:02 PM 	2207 m			174 m	0:01:20	8 kph	90° true
Trackpoint	N46 28.350 E9 44.702	8/23/2009 10:50:27 PM 	2196 m			218 m	0:00:25	31 kph	90° true
Trackpoint	N46 28.350 E9 44.813	8/23/2009 10:50:47 PM 	2192 m			142 m	0:00:20	26 kph	90° true
Trackpoint	N46 28.351 E9 44.945	8/23/2009 10:51:12 PM 	2190 m			169 m	0:00:25	24 kph	90° true
Trackpoint	N46 28.317 E9 45.005	8/23/2009 10:51:32 PM 	2188 m			98 m	0:00:20	18 kph	129° true
Trackpoint	N46 28.255 E9 45.071	8/23/2009 10:52:02 PM 	2179 m			143 m	0:00:30	17 kph	144° true
Trackpoint	N46 28.242 E9 45.252	8/23/2009 10:52:42 PM 	2166 m			232 m	0:00:40	21 kph	96° true
Trackpoint	N46 28.232 E9 45.330	8/23/2009 10:53:47 PM 	2157 m			101 m	0:01:05	6 kph	101° true
Trackpoint	N46 28.209 E9 45.448	8/23/2009 10:54:17 PM 	2143 m			157 m	0:00:30	19 kph	106° true
Trackpoint	N46 28.179 E9 45.568	8/23/2009 10:54:42 PM 	2130 m			163 m	0:00:25	24 kph	110° true
Trackpoint	N46 28.157 E9 45.643	8/23/2009 10:55:02 PM 	2127 m			104 m	0:00:20	19 kph	113° true
Trackpoint	N46 28.149 E9 45.744	8/23/2009 10:55:32 PM 	2116 m			130 m	0:00:30	16 kph	96° true
Trackpoint	N46 28.134 E9 45.845	8/23/2009 10:55:52 PM 	2107 m			132 m	0:00:20	24 kph	103° true
Trackpoint	N46 28.097 E9 46.004	8/23/2009 10:56:22 PM 	2097 m			214 m	0:00:30	26 kph	108° true
Trackpoint	N46 28.076 E9 46.080	8/23/2009 10:56:37 PM 	2093 m			105 m	0:00:15	25 kph	113° true
Trackpoint	N46 28.042 E9 46.143	8/23/2009 10:56:52 PM 	2089 m			102 m	0:00:15	24 kph	127° true
Trackpoint	N46 27.978 E9 46.263	8/23/2009 10:57:26 PM 	2086 m			195 m	0:00:34	21 kph	128° true
Trackpoint	N46 27.945 E9 46.343	8/23/2009 10:57:51 PM 	2081 m			119 m	0:00:25	17 kph	121° true
Trackpoint	N46 27.909 E9 46.430	8/23/2009 10:58:21 PM 	2074 m			129 m	0:00:30	15 kph	121° true
Trackpoint	N46 27.874 E9 46.490	8/23/2009 11:00:46 PM 	2072 m			100 m	0:02:25	2 kph	130° true
Trackpoint	N46 27.831 E9 46.541	8/23/2009 11:01:16 PM 	2068 m			104 m	0:00:30	12 kph	141° true
Trackpoint	N46 27.797 E9 46.636	8/23/2009 11:01:51 PM 	2059 m			136 m	0:00:35	14 kph	117° true
Trackpoint	N46 27.766 E9 46.743	8/23/2009 11:02:16 PM 	2043 m			148 m	0:00:25	21 kph	113° true
Trackpoint	N46 27.759 E9 46.875	8/23/2009 11:02:41 PM 	2028 m			169 m	0:00:25	24 kph	94° true
Trackpoint	N46 27.763 E9 46.962	8/23/2009 11:02:56 PM 	2016 m			112 m	0:00:15	27 kph	86° true
Trackpoint	N46 27.759 E9 47.089	8/23/2009 11:03:21 PM 	2006 m			161 m	0:00:25	23 kph	93° true
Trackpoint	N46 27.728 E9 47.199	8/23/2009 11:03:46 PM 	2000 m			152 m	0:00:25	22 kph	112° true
Trackpoint	N46 27.752 E9 47.322	8/23/2009 11:04:21 PM 	1991 m			163 m	0:00:35	17 kph	74° true
Trackpoint	N46 27.787 E9 47.390	8/23/2009 11:04:46 PM 	1983 m			108 m	0:00:25	16 kph	54° true
Trackpoint	N46 27.827 E9 47.447	8/23/2009 11:05:11 PM 	1976 m			105 m	0:00:25	15 kph	45° true
Trackpoint	N46 27.867 E9 47.503	8/23/2009 11:05:36 PM 	1968 m			104 m	0:00:25	15 kph	44° true
Trackpoint	N46 27.938 E9 47.600	8/23/2009 11:06:06 PM 	1952 m			179 m	0:00:30	22 kph	43° true
Trackpoint	N46 27.984 E9 47.658	8/23/2009 11:06:31 PM 	1940 m			114 m	0:00:25	16 kph	41° true
Trackpoint	N46 27.925 E9 47.687	8/23/2009 11:07:06 PM 	1930 m			116 m	0:00:35	12 kph	162° true
Trackpoint	N46 27.854 E9 47.676	8/23/2009 11:07:42 PM 	1917 m			132 m	0:00:36	13 kph	186° true
Trackpoint	N46 27.803 E9 47.644	8/23/2009 11:08:12 PM 	1907 m			104 m	0:00:30	13 kph	203° true
Trackpoint	N46 27.743 E9 47.642	8/23/2009 11:08:52 PM 	1897 m			111 m	0:00:40	10 kph	182° true
Trackpoint	N46 27.769 E9 47.671	8/23/2009 11:11:02 PM 	1880 m			61 m	0:02:10	2 kph	38° true
Trackpoint	N46 27.715 E9 47.658	8/23/2009 11:11:37 PM 	1869 m			101 m	0:00:35	10 kph	189° true
Trackpoint	N46 27.644 E9 47.634	8/23/2009 11:12:22 PM 	1856 m			136 m	0:00:45	11 kph	193° true
Trackpoint	N46 27.597 E9 47.644	8/23/2009 11:13:02 PM 	1846 m			88 m	0:00:40	8 kph	171° true
Trackpoint	N46 27.613 E9 47.741	8/23/2009 11:15:51 PM 	1832 m			127 m	0:02:49	3 kph	76° true
Trackpoint	N46 27.607 E9 47.817	8/23/2009 11:19:15 PM 	1824 m			98 m	0:03:24	2 kph	97° true
Trackpoint	N46 27.535 E9 47.867	8/23/2009 11:20:15 PM 	1819 m			149 m	0:01:00	9 kph	154° true
Trackpoint	N46 27.466 E9 47.806	8/23/2009 11:21:05 PM 	1819 m			149 m	0:00:50	11 kph	211° true
Trackpoint	N46 27.416 E9 47.684	8/23/2009 11:22:00 PM 	1819 m			182 m	0:00:55	12 kph	239° true
Trackpoint	N46 27.399 E9 47.602	8/23/2009 11:22:30 PM 	1818 m			109 m	0:00:30	13 kph	254° true
Trackpoint	N46 27.381 E9 47.524	8/23/2009 11:22:55 PM 	1816 m			104 m	0:00:25	15 kph	251° true
Trackpoint	N46 27.348 E9 47.442	8/23/2009 11:23:30 PM 	1810 m			122 m	0:00:35	13 kph	239° true
Trackpoint	N46 27.318 E9 47.437	8/23/2009 11:24:25 PM 	1806 m			55 m	0:00:55	4 kph	187° true
Trackpoint	N46 27.365 E9 47.477	8/23/2009 11:26:50 PM 	1808 m			101 m	0:02:25	3 kph	30° true
Trackpoint	N46 27.347 E9 47.539	8/23/2009 11:27:27 PM 	1808 m			86 m	0:00:37	8 kph	113° true
Trackpoint	N46 27.373 E9 47.586	8/23/2009 11:28:42 PM 	1799 m			76 m	0:01:15	4 kph	52° true
Trackpoint	N46 27.371 E9 47.593	8/24/2009 2:52:42 AM 	1794 m			10 m	3:24:00	0.0 kph	104° true
